date,peak_time,p10_mw,p50_mw,p90_mw,actual_peak_mw,assumed_capacity_mw,reliability,reliability_reasons,stress_score,stress_level,stress_reasons,peak_risk,peak_risk_reasons
2025-05-22,15:30,6842.3,7386.1,7905.6,6254.8,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],43.2,NORMAL,"['forecast peak is 82% of assumed capacity', 'upper bound (P90) reaches 88% of assumed capacity', 'corrected temperature forecast at peak is 38.9C', 'forecast peak is +1.4% versus the previous day']",LOW,['P90 stays at 88% of assumed capacity']
2025-05-23,15:30,6204.7,6670.1,7126.9,6592.0,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],21.3,NORMAL,"['corrected temperature forecast at peak is 39.1C', 'forecast peak is 74% of assumed capacity', 'upper bound (P90) reaches 79% of assumed capacity']",LOW,['P90 stays at 79% of assumed capacity']
2025-05-24,23:30,5838.0,6268.5,6776.2,6804.9,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],3.7,NORMAL,['upper bound (P90) reaches 75% of assumed capacity'],LOW,['P90 stays at 75% of assumed capacity']
2025-05-25,23:30,6140.5,6599.9,7137.1,6745.2,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],19.7,NORMAL,"['forecast peak is +5.3% versus the previous day', 'upper bound (P90) reaches 79% of assumed capacity', 'forecast peak is 73% of assumed capacity', 'corrected temperature forecast at peak is 31.0C']",LOW,['P90 stays at 79% of assumed capacity']
2025-05-26,00:00,6334.3,6844.7,7329.0,6059.8,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],24.0,NORMAL,"['forecast peak is 76% of assumed capacity', 'upper bound (P90) reaches 81% of assumed capacity', 'forecast peak is +3.7% versus the previous day', 'corrected temperature forecast at peak is 30.8C']",LOW,['P90 stays at 81% of assumed capacity']
2025-05-27,23:15,5894.1,6329.2,6773.3,6658.8,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],4.3,NORMAL,"['upper bound (P90) reaches 75% of assumed capacity', 'forecast peak is 70% of assumed capacity']",LOW,['P90 stays at 75% of assumed capacity']
2025-05-28,23:00,6177.0,6661.8,7130.0,6985.0,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],21.3,NORMAL,"['forecast peak is 74% of assumed capacity', 'forecast peak is +5.3% versus the previous day', 'upper bound (P90) reaches 79% of assumed capacity', 'corrected temperature forecast at peak is 31.5C']",LOW,['P90 stays at 79% of assumed capacity']
2025-05-29,23:00,6540.5,7011.6,7500.0,7302.6,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],32.1,NORMAL,"['forecast peak is 78% of assumed capacity', 'upper bound (P90) reaches 83% of assumed capacity', 'forecast peak is +5.3% versus the previous day', 'corrected temperature forecast at peak is 32.6C']",LOW,['P90 stays at 83% of assumed capacity']
2025-05-30,15:15,6553.3,7067.5,7568.9,6253.1,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],30.8,NORMAL,"['forecast peak is 79% of assumed capacity', 'upper bound (P90) reaches 84% of assumed capacity', 'corrected temperature forecast at peak is 35.7C', 'forecast peak is +0.8% versus the previous day']",LOW,['P90 stays at 84% of assumed capacity']
2025-05-31,15:15,5804.5,6199.3,6699.7,6311.2,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],10.0,NORMAL,"['corrected temperature forecast at peak is 38.4C', 'upper bound (P90) reaches 74% of assumed capacity']",LOW,['P90 stays at 74% of assumed capacity']
2025-06-01,00:00,5515.9,5897.3,6380.8,5674.0,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],0.6,NORMAL,['upper bound (P90) reaches 71% of assumed capacity'],LOW,['P90 stays at 71% of assumed capacity']
2025-06-02,15:15,5654.0,6060.6,6480.0,5819.6,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],9.7,NORMAL,"['corrected temperature forecast at peak is 35.8C', 'forecast peak is +2.8% versus the previous day', 'upper bound (P90) reaches 72% of assumed capacity']",LOW,['P90 stays at 72% of assumed capacity']
2025-06-03,14:30,5527.5,5933.9,6354.8,5511.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],4.3,NORMAL,['corrected temperature forecast at peak is 34.6C'],LOW,['P90 stays at 71% of assumed capacity']
2025-06-04,16:00,5344.4,5718.1,6114.8,5499.1,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],3.5,NORMAL,['corrected temperature forecast at peak is 34.2C'],LOW,['P90 stays at 68% of assumed capacity']
2025-06-05,15:15,5458.8,5774.0,6177.9,5499.1,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],5.4,NORMAL,"['corrected temperature forecast at peak is 35.0C', 'forecast peak is +1.0% versus the previous day']",LOW,['P90 stays at 69% of assumed capacity']
2025-06-06,00:00,5151.6,5524.5,5901.7,6126.2,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],0.0,NORMAL,[],LOW,['P90 stays at 66% of assumed capacity']
2025-06-07,15:30,5794.3,6189.7,6701.8,6549.0,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],20.4,NORMAL,"['forecast peak is +12.0% versus the previous day', 'corrected temperature forecast at peak is 38.9C', 'upper bound (P90) reaches 74% of assumed capacity']",LOW,['P90 stays at 74% of assumed capacity']
2025-06-08,23:15,5876.2,6289.5,6791.3,7049.9,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],7.3,NORMAL,"['upper bound (P90) reaches 75% of assumed capacity', 'forecast peak is +1.6% versus the previous day', 'corrected temperature forecast at peak is 32.0C']",LOW,['P90 stays at 75% of assumed capacity']
2025-06-09,23:15,6582.3,7088.5,7577.9,7327.3,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],36.8,NORMAL,"['forecast peak is 79% of assumed capacity', 'forecast peak is +12.7% versus the previous day', 'upper bound (P90) reaches 84% of assumed capacity', 'corrected temperature forecast at peak is 31.6C']",LOW,['P90 stays at 84% of assumed capacity']
2025-06-10,00:30,6308.9,6810.4,7280.3,7214.4,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],18.0,NORMAL,"['forecast peak is 76% of assumed capacity', 'upper bound (P90) reaches 81% of assumed capacity']",LOW,['P90 stays at 81% of assumed capacity']
2025-06-11,15:30,6495.9,7371.4,8230.7,8180.8,9000.0,LOW,"['critical 24h demand input reconstructed from the nearest available earlier day for 39 of 96 blocks (telemetry gap)', 'previous-24h demand telemetry only 59% complete at worst']",61.1,WATCH,"['forecast peak is 82% of assumed capacity', 'upper bound (P90) reaches 91% of assumed capacity', 'forecast peak is +8.2% versus the previous day', 'corrected temperature forecast at peak is 42.3C']",MODERATE,"['forecast reliability is LOW, so the upper bound is less dependable']"
2025-06-12,23:00,7150.8,7795.2,8417.6,8392.6,9000.0,MEDIUM,"['48h demand input reconstructed for 39 of 96 blocks', 'previous-24h demand telemetry only 59% complete at worst']",58.3,WATCH,"['forecast peak is 87% of assumed capacity', 'upper bound (P90) reaches 94% of assumed capacity', 'forecast peak is +5.7% versus the previous day', 'forecast reliability is MEDIUM']",MODERATE,['P90 stays at 94% of assumed capacity']
2025-06-13,23:00,7289.5,7874.9,8423.3,8389.2,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],51.3,WATCH,"['forecast peak is 87% of assumed capacity', 'upper bound (P90) reaches 94% of assumed capacity', 'corrected temperature forecast at peak is 32.7C', 'forecast peak is +1.0% versus the previous day']",MODERATE,['P90 stays at 94% of assumed capacity']
2025-06-14,15:00,7348.9,7867.9,8504.1,7939.0,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],56.5,WATCH,"['forecast peak is 87% of assumed capacity', 'upper bound (P90) reaches 94% of assumed capacity', 'corrected temperature forecast at peak is 39.8C']",MODERATE,['P90 stays at 94% of assumed capacity']
2025-06-15,15:00,6899.1,7441.4,8041.1,7778.4,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],43.9,NORMAL,"['forecast peak is 83% of assumed capacity', 'upper bound (P90) reaches 89% of assumed capacity', 'corrected temperature forecast at peak is 39.3C']",MODERATE,['P90 stays at 89% of assumed capacity']
2025-06-16,00:00,6837.5,7397.4,7911.0,7143.7,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],34.3,NORMAL,"['forecast peak is 82% of assumed capacity', 'upper bound (P90) reaches 88% of assumed capacity']",LOW,['P90 stays at 88% of assumed capacity']
2025-06-17,00:00,6574.2,7142.6,7646.4,6997.9,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],27.1,NORMAL,"['forecast peak is 79% of assumed capacity', 'upper bound (P90) reaches 85% of assumed capacity']",LOW,['P90 stays at 85% of assumed capacity']
2025-06-18,00:00,6266.1,6795.3,7285.8,6480.6,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],17.4,NORMAL,"['forecast peak is 76% of assumed capacity', 'upper bound (P90) reaches 81% of assumed capacity']",LOW,['P90 stays at 81% of assumed capacity']
2025-06-19,23:15,6018.7,6514.2,6978.5,6899.1,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],9.4,NORMAL,"['upper bound (P90) reaches 78% of assumed capacity', 'forecast peak is 72% of assumed capacity']",LOW,['P90 stays at 78% of assumed capacity']
2025-06-20,23:15,6361.9,6884.8,7380.2,6704.9,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],27.0,NORMAL,"['forecast peak is 76% of assumed capacity', 'upper bound (P90) reaches 82% of assumed capacity', 'forecast peak is +5.7% versus the previous day']",LOW,['P90 stays at 82% of assumed capacity']
2025-06-21,23:15,6330.0,6807.4,7375.5,6943.5,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],19.1,NORMAL,"['forecast peak is 76% of assumed capacity', 'upper bound (P90) reaches 82% of assumed capacity', 'corrected temperature forecast at peak is 31.0C']",LOW,['P90 stays at 82% of assumed capacity']
2025-06-22,23:15,6321.6,6797.5,7357.1,6823.2,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],18.0,NORMAL,"['forecast peak is 76% of assumed capacity', 'upper bound (P90) reaches 82% of assumed capacity']",LOW,['P90 stays at 82% of assumed capacity']
2025-06-23,23:15,6592.3,7121.7,7635.1,7475.2,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],32.8,NORMAL,"['forecast peak is 79% of assumed capacity', 'upper bound (P90) reaches 85% of assumed capacity', 'forecast peak is +4.8% versus the previous day']",LOW,['P90 stays at 85% of assumed capacity']
2025-06-24,15:00,6884.8,7413.1,7954.7,7073.4,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],45.9,NORMAL,"['forecast peak is 82% of assumed capacity', 'upper bound (P90) reaches 88% of assumed capacity', 'corrected temperature forecast at peak is 37.0C', 'forecast peak is +4.1% versus the previous day']",MODERATE,['P90 stays at 88% of assumed capacity']
2025-06-25,15:00,6556.9,7077.8,7588.8,7049.4,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],29.5,NORMAL,"['forecast peak is 79% of assumed capacity', 'upper bound (P90) reaches 84% of assumed capacity', 'corrected temperature forecast at peak is 35.0C']",LOW,['P90 stays at 84% of assumed capacity']
2025-06-26,23:15,6510.4,7055.2,7566.5,7421.0,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],24.8,NORMAL,"['forecast peak is 78% of assumed capacity', 'upper bound (P90) reaches 84% of assumed capacity']",LOW,['P90 stays at 84% of assumed capacity']
2025-06-27,15:00,6807.4,7328.6,7865.6,7584.4,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],42.6,NORMAL,"['forecast peak is 81% of assumed capacity', 'upper bound (P90) reaches 87% of assumed capacity', 'corrected temperature forecast at peak is 36.2C', 'forecast peak is +3.9% versus the previous day']",LOW,['P90 stays at 87% of assumed capacity']
2025-06-28,15:00,6857.3,7330.4,7943.1,7434.6,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],37.2,NORMAL,"['forecast peak is 81% of assumed capacity', 'upper bound (P90) reaches 88% of assumed capacity', 'corrected temperature forecast at peak is 34.8C']",MODERATE,['P90 stays at 88% of assumed capacity']
2025-06-29,00:00,6527.6,7058.6,7642.7,6437.0,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],25.4,NORMAL,"['forecast peak is 78% of assumed capacity', 'upper bound (P90) reaches 85% of assumed capacity']",LOW,['P90 stays at 85% of assumed capacity']
2025-06-30,00:00,6135.1,6631.7,7096.4,5849.5,9000.0,HIGH,['all critical demand inputs observed; previous 24h telemetry complete'],12.7,NORMAL,"['forecast peak is 74% of assumed capacity', 'upper bound (P90) reaches 79% of assumed capacity']",LOW,['P90 stays at 79% of assumed capacity']
